Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers"
Rango,2011,original screenplay,88,75,82,69,74,-5,72,10,,"animation, adventure, comedy",38080000,38.08,123480000,123.48,122.25,122250000,245730000,245.73,49.75%,135,182.02%,28.21%,Oscar Winner,Best Animated Film,http://www.amazon.com/gp/product/B0053ZOQMK/?tag=titb-20,1,,,,"Mar 4, 2011",
The Help,2011,adaptation,75,62,69,91,78,13,85,-16,,drama,26040000,26.04,169710000,169.71,46.93,46930000,216640000,216.64,21.66%,25,866.56%,104.16%,Oscar winner,Best Supporting Actress,http://www.amazon.com/gp/product/B006IGZWB2/?tag=titb-20,1,,,,"Aug 10, 2011",
The Descendants,2011,adaptation,89,84,87,88,76,12,82,5,,comedy,4380000,4.38,82580000,82.58,94.66,94660000,177240000,177.24,53.41%,20,886.20%,21.90%,Oscar winner,Best Adapted Screenplay,http://www.amazon.com/gp/product/B007JRU2UK/?tag=titb-20,1,,,,"Nov 23, 2011",
Midnight in Paris,2011,original screenplay,93,81,87,84,78,6,81,6,,"comedy, fantasy, romance",5830000,5.83,56820000,56.82,94.3,94300000,151120000,151.12,62.40%,17,888.94%,34.29%,Oscar winner,Best Original Screenplay,http://www.amazon.com/gp/product/B006O5Y09C/?tag=titb-20,1,,,,"May 20, 2011",
The Artist,2011,original screenplay,97,89,93,91,79,12,85,8,,"comedy, romance",2370000,2.37,44671000,44.67,88.761,88761000,133432000,133.43,66.52%,16,833.95%,14.81%,Oscar winner,"Best Picture, Best Director",http://www.amazon.com/gp/product/B007ELN8Y8/?tag=titb-20,1,,,,"Nov 23, 2011",
The Iron Lady,2011,based on a true story,53,54,54,54,61,-7,58,-4,,"biography, history",5410000,5.41,30017000,30.02,84.938,84938000,114955000,114.96,73.89%,13,884.27%,41.62%,Oscar winner,Best Actress,http://www.amazon.com/gp/product/B007SSEBCU/?tag=titb-20,1,,,,"Dec 30, 2011",
Beginners,2011,based on a true story,84,81,83,80,73,7,77,6,,"comedy, romance",140000,0.14,5790000,5.79,8.52,8520000,14310000,14.31,59.54%,3.2,447.19%,4.38%,Oscar winner,Best Supporting Actor,http://www.amazon.com/gp/product/B0060M9T9U/?tag=titb-20,1,,,,"Jun 3, 2011",
Pirates of the Caribbean: On Stranger Tides,2011,sequel,34,45,40,61,64,-3,63,-23,,"action, adventure, fantasy",90150000,90.15,241070000,241.07,804.64,804640000,1045710000,1045.71,76.95%,250,418.28%,36.06%,,,http://www.amazon.com/gp/product/B0094KT5K8/?tag=titb-20,1,,,,"May 20, 2011",
Green Lantern,2011,adaptation,27,39,33,48,56,-8,52,-19,,"action, adventure, sci-fi",53170000,53.17,116600000,116.60,103.25,103250000,219850000,219.85,46.96%,200,109.93%,26.59%,,,http://www.amazon.com/gp/product/B005LJITS0/?tag=titb-20,1,,,,"June 17, 2011",
Cars 2,2011,sequel,38,57,48,56,59,-3,58,-10,,"animation, adventure, comedy",66140000,66.14,191450000,191.45,368.4,368400000,559850000,559.85,65.80%,200,279.93%,33.07%,,,http://www.amazon.com/gp/product/B00942XS04/?tag=titb-20,1,,,,"June 24, 2011",
Transformers: Dark of the Moon,2011,sequel,35,42,39,67,57,10,62,-24,,"action, adventure, sci-fi",97850000,97.85,352390000,352.39,771.4,771400000,1123790000,1123.79,68.64%,195,576.30%,50.18%,,,http://www.amazon.com/gp/product/B0095P3ULC/?tag=titb-20,1,,,,"June 29, 2011",
Cowboys and Aliens,2011,adaptation,44,50,47,50,60,-10,55,-8,,"action, sci-fi, thriller",36430000,36.43,100240000,100.24,74.58,74580000,174820000,174.82,42.66%,163,107.25%,22.35%,,,http://www.amazon.com/gp/product/B006C45MRE/?tag=titb-20,1,,,,"Jul 29, 2011",
X-Men: First Class,2011,sequel,87,65,76,88,78,10,83,-7,,"action, adventure, sci-fi",55100000,55.10,146410000,146.41,207.22,207220000,353630000,353.63,58.60%,160,221.02%,34.44%,,,http://www.amazon.com/gp/product/B005NFVZTM/?tag=titb-20,1,,,,"Jun 3, 2011",
Hugo,2011,adaptation,93,83,88,84,75,9,80,9,,"adventure, family, mystery",11360000,11.36,73864000,73.86,111.905,111905000,185769000,185.77,60.24%,150,123.85%,7.57%,,,http://www.amazon.com/gp/product/B007EMSW48/?tag=titb-20,1,,,,"Nov 23, 2011",
Mars Needs Moms,2011,adaptation,36,49,43,43,56,-13,50,-7,,"animation, action, adventure",6910000,6.91,21390000,21.39,17.6,17600000,38990000,38.99,45.14%,150,25.99%,4.61%,,,http://www.amazon.com/gp/product/B005CB2E0Q/?tag=titb-20,1,,,,"Mar 11, 2011",
Thor,2011,adaptation,77,57,67,80,69,11,75,-8,,"action, adventure, fantasy",65720000,65.72,181030000,181.03,268.29,268290000,449320000,449.32,59.71%,150,299.55%,43.81%,,,http://www.amazon.com/gp/product/B005H9B2CE/?tag=titb-20,1,,,,"May 6, 2011",
Arthur Christmas,2011,original screenplay,92,69,81,82,74,8,78,3,,"animation, comedy, family",12070000,12.07,46460000,46.46,100.95,100950000,147410000,147.41,68.48%,150,98.27%,8.05%,,,http://www.amazon.com/gp/product/B009SQRC9E/?tag=titb-20,1,,,,"Nov 23, 2011",
Kung Fu Panda 2,2011,sequel,82,67,75,80,76,4,78,-4,,"animation, action, adventure",47660000,47.66,165250000,165.25,500.44,500440000,665690000,665.69,75.18%,150,443.79%,31.77%,,,http://www.amazon.com/gp/product/B006QKJQ12/?tag=titb-20,1,,,,"May 26, 2011",
Mission Impossible 4,2011,sequel,93,73,83,86,76,10,81,2,,"action, thriller",29550000,29.55,209390000,209.39,485.32,485320000,694710000,694.71,69.86%,145,479.11%,20.38%,,,http://www.amazon.com/gp/product/B007UXSPK2/?tag=titb-20,1,,,,"Dec 21, 2011",
Captain America: The First Avenger,2011,adaptation,78,66,72,75,69,6,72,0,,"action, adventure, sci-fi",65060000,65.06,176650000,176.65,193.92,193920000,370570000,370.57,52.33%,140,264.69%,46.47%,,,http://www.amazon.com/gp/product/B0095P33IW/?tag=titb-20,1,,,,"Jul 22, 2011",
Happy Feet 2,2011,sequel,41,50,46,59,56,3,58,-12,,"animation, comedy, family",21240000,21.24,64010000,64.01,86.4,86400000,150410000,150.41,57.44%,135,111.41%,15.73%,,,http://www.amazon.com/gp/product/B007JRUCGO/?tag=titb-20,1,,,,"Nov 18, 2011",
Puss In Boots,2011,adaptation,83,65,74,76,73,3,75,-1,,"animation, adventure, comedy",34080000,34.08,149260000,149.26,405.73,405730000,554990000,554.99,73.11%,130,426.92%,26.22%,,,http://www.amazon.com/gp/product/B0077DBZXO/?tag=titb-20,1,,,,"Nov 4, 2011",
The Adventures of Tintin,2011,adaptation,74,68,71,78,77,1,78,-7,,"animation, action, adventure",9720000,9.72,77591000,77.59,296.402,296402000,373993000,373.99,79.25%,130,287.69%,7.48%,,,http://www.amazon.com/gp/product/B007MJSQSK/?tag=titb-20,1,,,,"Dec 21, 2011",
Fast Five,2011,sequel,78,67,73,83,74,9,79,-6,,"action, crime, thriller",86190000,86.19,209400000,209.40,416.3,416300000,626130000,626.13,66.49%,125,500.90%,68.95%,,,http://www.amazon.com/gp/product/B00CC8789O/?tag=titb-20,1,,,,"Apr 29, 2011",
Harry Potter and the Deathly Hallows Part 2,2011,sequel,96,87,92,92,80,12,86,6,,"adventure, fantasy, mystery",169190000,169.19,381010000,381.01,960.5,960500000,1341510000,1341.51,71.60%,125,1073.21%,135.35%,,,http://www.amazon.com/gp/product/B005UG542S/?tag=titb-20,1,,,,"Jul 15, 2011",
Sherlock Holmes 2,2011,sequel,60,48,54,79,74,5,77,-23,,"action, adventure, crime",39630000,39.63,186850000,186.85,358.6,358600000,545450000,545.45,65.74%,125,436.36%,31.70%,,,,1,,,,"Dec 16, 2011",
The Green Hornet,2011,adaptation,44,39,42,47,57,-10,52,-11,,"action, comedy, crime",33500000,33.50,98780000,98.78,129.04,129040000,227820000,227.82,56.64%,120,189.85%,27.92%,,,http://www.amazon.com/gp/product/B004YZJYLS/?tag=titb-20,1,,,,"Jan 14, 2011",
Real Steel,2011,adaptation,58,56,57,81,71,10,76,-19,,"action, sci-fi",27320000,27.32,85470000,85.47,213.8,213800000,299270000,299.27,71.44%,110,272.06%,24.84%,,,http://www.amazon.com/gp/product/B006PZBRCY/?tag=titb-20,1,,,,"Oct 7, 2011",
The Smurfs,2011,adaptation,23,30,27,50,44,6,47,-21,,"animation, adventure, comedy",35610000,35.61,142610000,142.61,421.14,421140000,563750000,563.75,74.70%,110,512.50%,32.37%,,,http://www.amazon.com/gp/product/B00637D114/,1,,,,"Jul 29, 2011",
Twilight: Breaking Dawn,2011,sequel,26,45,36,68,43,25,56,-20,,"adventure, fantasy",138120000,138.12,281290000,281.29,430.88,430880000,712170000,712.17,60.50%,110,647.43%,125.56%,,,http://www.amazon.com/gp/product/B00BLQQQJ6/?tag=titb-20,1,,,,"Nov 18, 2011",
Rise of the Planet of the Apes,2011,remake / reboot,83,68,76,87,77,10,82,-7,,"action, sci-fi",54810000,54.81,176700000,176.70,305.04,305040000,481740000,481.74,63.32%,93,518.00%,58.94%,,,http://www.amazon.com/gp/product/B009YMNZJS/?tag=titb-20,1,,,,"Aug 5, 2011",
Conan the Barbarian,2011,adaptation,22,36,29,34,53,-19,44,-15,,"action, adventure, fantasy",10020000,10.02,21300000,21.30,27.5,27500000,48800000,48.80,56.35%,90,54.22%,11.13%,,,http://www.amazon.com/gp/product/B006ANJ4BW/,1,,,,"Aug 19, 2011",
The Girl With The Dragon Tattoo,2011,adaptation,87,71,79,89,80,9,85,-6,,"crime, mystery",12760000,12.76,102060000,102.06,130.101,130101000,232161000,232.16,56.04%,90,257.96%,14.18%,,,http://www.amazon.com/gp/product/B007FH9GT2/?tag=titb-20,1,,,,"Dec 20, 2011",
Rio,2011,original screenplay,71,63,67,73,72,1,73,-6,,"animation, adventure, comedy",39230000,39.23,143620000,143.62,341.02,341020000,484640000,484.64,70.37%,90,538.49%,43.59%,,,http://www.amazon.com/gp/product/B005GIS1WA/,1,,,,"Apr 15, 2011",
Sucker Punch,2011,original screenplay,23,33,28,48,61,-13,55,-27,,"action, fantasy, thriller",19060000,19.06,36390000,36.39,53.4,53400000,89790000,89.79,59.47%,82,109.50%,23.24%,,,http://www.amazon.com/gp/product/B0051OZ564/?tag=titb-20,1,,,,"Mar 25, 2011",
Just Go With It,2011,adaptation,19,33,26,63,64,-1,64,-38,,"comedy, romance",30510000,30.51,103030000,103.03,111.92,111920000,214950000,214.95,52.07%,80,268.69%,38.14%,,,http://www.amazon.com/gp/product/B0051BX8KM/?tag=titb-20,1,,,,"Feb 11, 2011",
Zookeeper,2011,original screenplay,14,30,22,42,42,0,42,-20,,"comedy, family, romance",20070000,20.07,80360000,80.36,89.49,89490000,169850000,169.85,52.69%,80,212.31%,25.09%,,,http://www.amazon.com/gp/product/B005SH5K7I/?tag=titb-20,1,,,,"Jul 8, 2011",
The Hangover Part II,2011,sequel,35,44,40,58,56,2,57,-18,,comedy,85950000,85.95,254460000,254.46,332.3,332300000,586760000,586.76,56.63%,80,733.45%,107.44%,,,http://www.amazon.com/gp/product/B005TBN3EU/?tag=titb-20,1,,,,"May 26, 2011",
Jack and Jill,2011,original screenplay,4,23,14,59,27,32,43,-30,,comedy,25000000,25.00,74160000,74.16,75.52,75520000,149680000,149.68,50.45%,79,189.47%,31.65%,,,http://www.amazon.com/gp/product/B0075ZCNM6/?tag=titb-20,1,,,,"Nov 11, 2011",
Immortals,2011,adaptation,36,46,41,59,60,-1,60,-19,,"action, fantasy",32210000,32.21,83500000,83.50,143.4,143400000,226900000,226.90,63.20%,75,302.53%,42.95%,,,http://www.amazon.com/gp/product/B0091UA5E6/?tag=titb-20,1,,,,"November 11, 2011",
The Three Musketeers,2011,adaptation,24,35,30,48,51,-3,50,-20,,"action, adventure, romance",8670000,8.67,20370000,20.37,111.9,111900000,132270000,132.27,84.60%,75,176.36%,11.56%,,,http://www.amazon.com/gp/product/B007JUWM64/?tag=titb-20,1,,,,"Oct 21, 2011",
Tower Heist,2011,original screenplay,68,59,64,61,61,0,61,3,,"action, comedy, crime",24030000,24.03,78040000,78.04,74.88,74880000,152920000,152.92,48.97%,75,203.89%,32.04%,,,http://www.amazon.com/gp/product/B007BLUD30/?tag=titb-20,1,,,,"Nov 4, 2011",
Killer Elite,2011,adaptation,25,44,35,48,57,-9,53,-18,,"action, crime, thriller",9350000,9.35,25120000,25.12,31.26,31260000,56380000,56.38,55.45%,70,80.54%,13.36%,,,http://www.amazon.com/gp/product/B006TLFIAQ/?tag=titb-20,1,,,,"Sep 23, 2011",
Battle: Los Angeles,2011,based on a true story,35,37,36,50,58,-8,54,-18,,"action, adventure, sci-fi",35570000,35.57,83550000,83.55,128.27,128270000,211820000,211.82,60.56%,70,302.60%,50.81%,,,http://www.amazon.com/gp/product/B0051BVQFG/?tag=titb-20,1,,,,"Mar 11, 2011",
The Dilemma,2011,original screenplay,23,46,35,31,44,-13,38,-3,,comedy,17800000,17.80,48480000,48.48,21.25,21250000,69730000,69.73,30.47%,70,99.61%,25.43%,,,http://www.amazon.com/gp/product/B004YJ1MF0/?tag=titb-20,1,,,,"Jan 14, 2011",
War Horse,2011,adaptation,77,72,75,73,66,7,70,5,,war,14520000,14.52,79884000,79.88,97.7,97700000,177584000,177.58,55.02%,66,269.07%,22.00%,,,http://www.amazon.com/gp/product/B007Q476KU/?tag=titb-20,1,,,,"Dec 25, 2011",
Hop,2011,original screenplay,26,41,34,50,51,-1,51,-17,,"animation, comedy, family",37540000,37.54,108090000,108.09,75.87,75870000,183960000,183.96,41.24%,63,292.00%,59.59%,,,http://www.amazon.com/gp/product/B007PKOKTK/?tag=titb-20,1,,,,"Apr 1, 2011",
I Am Number Four,2011,adaptation,32,36,34,57,61,-4,59,-25,,"romance, sci-fi",19450000,19.45,55100000,55.10,94.78,94780000,149880000,149.88,63.24%,60,249.80%,32.42%,,,http://www.amazon.com/gp/product/B004Z2TUGE/?tag=titb-20,1,,,,"Feb 18, 2011",
Priest,2011,adaptation,17,41,29,37,50,-13,44,-15,,"action, fantasy, horror",14950000,14.95,29140000,29.14,49.17,49170000,78310000,78.31,62.79%,60,130.52%,24.92%,,,http://www.amazon.com/gp/product/B005BG2FII/?tag=titb-20,1,,,,"May 13, 2011",
Contagion,2011,original screenplay,84,70,77,63,64,-1,64,14,,"sci-fi, thriller",22400000,22.40,75660000,75.66,59.8,59800000,135460000,135.46,44.15%,60,225.77%,37.33%,,,http://www.amazon.com/gp/product/B006SV2LWA/?tag=titb-20,1,,,,"Sep 9, 2011",
New Year's Eve,2011,original screenplay,8,22,15,48,47,1,48,-33,,"comedy, romance",13010000,13.01,54540000,54.54,87.5,87500000,142040000,142.04,61.60%,56,253.64%,23.23%,,,http://www.amazon.com/gp/product/B007Z9QA8K/?tag=titb-20,1,,,,"Dec 9, 2011",
Mr. Popper's Penguins,2011,adaptation,47,53,50,54,61,-7,58,-8,,comedy,18450000,18.45,68220000,68.22,119.14,119140000,187360000,187.36,63.59%,55,340.65%,33.55%,,,http://www.amazon.com/gp/product/B006LG7V5O/?tag=titb-20,1,,,,"Jun 17, 2011",
The Change Up,2011,original screenplay,24,39,32,53,58,-5,56,-24,,comedy,13530000,13.53,37080000,37.08,38.37,38370000,75450000,75.45,50.85%,52,145.10%,26.02%,,,http://www.amazon.com/gp/product/B0064J6OMO/?tag=titb-20,1,,,,"Aug 5, 2011",
The Adjustment Bureau,2011,adaptation,72,60,66,67,66,1,67,-1,,"fantasy, romance, thriller",21160000,21.16,62500000,62.50,65.37,65370000,127870000,127.87,51.12%,50.2,254.72%,42.15%,,,http://www.amazon.com/gp/product/B0055OK2T0/?tag=titb-20,1,,,,"Mar 4, 2011",
We Bought a Zoo,2011,adaptation,63,58,61,79,69,10,74,-14,,family,9360000,9.36,75624000,75.62,44.457,44457000,120081000,120.08,37.02%,50,240.16%,18.72%,,,http://www.amazon.com/gp/product/B007R0XM88/?tag=titb-20,1,,,,"Dec 23, 2011",
Moneyball,2011,based on a true story,95,87,91,89,79,10,84,7,,"biography, sport",19500000,19.50,75600000,75.60,34.6,34600000,110200000,110.20,31.40%,50,220.40%,39.00%,,,http://www.amazon.com/gp/product/B006IMY5ZU/?tag=titb-20,1,,,,"Sep 23, 2011",
"Crazy, Stupid, Love",2011,original screenplay,78,68,73,81,75,6,78,-5,,"comedy, romance",19100000,19.10,84350000,84.35,58.5,58500000,142850000,142.85,40.95%,50,285.70%,38.20%,,,http://www.amazon.com/gp/product/B0060V1WJ6/?tag=titb-20,1,,,,"Jul 29, 2011",
Dream House,2011,original screenplay,7,35,21,38,57,-19,48,-27,,"mystery, thriller",8130000,8.13,21300000,21.30,17.2,17200000,38500000,38.50,44.68%,50,77.00%,16.26%,,,http://www.amazon.com/gp/product/B0070Z97LG/?tag=titb-20,1,,,,"September 30, 2011",
Super 8 ,2011,original screenplay,82,72,77,78,73,5,76,2,,"mystery, sci-fi, thriller",35450000,35.45,127000000,127.00,133.09,133090000,260090000,260.09,51.17%,50,520.18%,70.90%,,,http://www.amazon.com/gp/product/B0068TJLSY/?tag=titb-20,1,,,,"Jun 10, 2011",
Your Highness,2011,original screenplay,26,31,29,36,49,-13,43,-14,,"adventure, comedy, fantasy",9360000,9.36,21600000,21.60,3.26,3260000,24860000,24.86,13.11%,49.9,49.82%,18.76%,,,http://www.amazon.com/gp/product/B005BZQTGS/?tag=titb-20,1,,,,"Apr 8, 2011",
The Muppets,2011,adaptation,97,75,86,87,77,10,82,4,,"comedy, family, musical",29240000,29.24,88630000,88.63,76.55,76550000,165180000,165.18,46.34%,45,367.07%,64.98%,,,http://www.amazon.com/gp/product/B007C94QRK/?tag=titb-20,1,,,,"Nov 23, 2011",
The Rum Diary,2011,adaptation,50,56,53,48,65,-17,57,-4,,comedy,5140000,5.14,13110000,13.11,10.84,10840000,23950000,23.95,45.26%,45,53.22%,11.42%,,,http://www.amazon.com/gp/product/B006ZEDZNY/?tag=titb-20,1,,,,"Oct 28, 2011",
Drive Angry,2011,original screenplay,45,44,45,38,54,-16,46,-2,,"action, crime, fantasy",5190000,5.19,10720000,10.72,18.21,18210000,28930000,28.93,62.95%,45,64.29%,11.53%,,,http://www.amazon.com/gp/product/B0053EZY04/?tag=titb-20,1,,,,"Feb 25, 2011",
Johnny English Reborn,2011,sequel,38,46,42,55,63,-8,59,-17,,"adventure, comedy, crime",3830000,3.83,8310000,8.31,151.77,151770000,160080000,160.08,94.81%,45,355.73%,8.51%,,,http://www.amazon.com/gp/product/B0076R62FM/?tag=titb-20,1,,,,"Oct 21, 2011",
Red Riding Hood,2011,adaptation,11,29,20,41,42,-1,42,-22,,"fantasy, horror, mystery",14010000,14.01,37660000,37.66,51.5,51500000,89160000,89.16,57.76%,42,212.29%,33.36%,,,http://www.amazon.com/gp/product/B0055QL28I/?tag=titb-20,1,,,,"Mar 11, 2011",
Extremely Loud and Incredibly Close,2011,adaptation,47,46,47,62,60,2,61,-15,,"adventure, mystery",10040000,10.04,31847000,31.85,23.4,23400000,55247000,55.25,42.36%,40,138.12%,25.10%,,,http://www.amazon.com/gp/product/B007P3S1AQ/?tag=titb-20,1,,,,"Dec 25, 2011",
Season Of The Witch,2011,adaptation,10,28,19,32,51,-19,42,-23,,"action, adventure, fantasy",10600000,10.60,24830000,24.83,66.8,66800000,91630000,91.63,72.90%,40,229.08%,26.50%,,,http://www.amazon.com/gp/product/B0057UIV9K/?tag=titb-20,1,,,,"Jan 7, 2011",
The Lincoln Lawyer,2011,adaptation,84,63,74,82,74,8,78,-5,,"crime, thriller",13210000,13.21,58010000,58.01,17,17000000,75010000,75.01,22.66%,40,187.53%,33.03%,,,http://www.amazon.com/gp/product/B008Y73940/?tag=titb-20,1,,,,"Mar 18, 2011",
Colombiana,2011,original screenplay,28,45,37,55,55,0,55,-19,,"action, crime, thriller",10410000,10.41,36670000,36.67,24.3,24300000,60970000,60.97,39.86%,40,152.43%,26.03%,,,http://www.amazon.com/gp/product/B006O66EFE/?tag=titb-20,1,,,,"Aug 26, 2011",
In Time,2011,original screenplay,38,53,46,55,63,-8,59,-14,,"action, sci-fi, thriller",12050000,12.05,37520000,37.52,136.41,136410000,173930000,173.93,78.43%,40,434.83%,30.13%,,,http://www.amazon.com/gp/product/B0073PZIYI/?tag=titb-20,1,,,,"Oct 28, 2011",
Paul,2011,original screenplay,72,57,65,70,70,0,70,-6,,"adventure, comedy, sci-fi",13040000,13.04,37410000,37.41,60.57,60570000,97980000,97.98,61.82%,40,244.95%,32.60%,,,http://www.amazon.com/gp/product/B005BZQVJ8/?tag=titb-20,1,,,,"Mar 18, 2011",
The Mechanic,2011,original screenplay,53,49,51,52,61,-9,57,-6,,"action, crime, thriller",11400000,11.40,29120000,29.12,21.95,21950000,51070000,51.07,42.98%,40,127.68%,28.50%,,,http://www.amazon.com/gp/product/B0052OWGYW/?tag=titb-20,1,,,,"Jan 28, 2011",
Arthur,2011,remake / reboot,26,36,31,49,50,-1,50,-19,,"comedy, romance",12220000,12.22,33040000,33.04,12.7,12700000,45740000,45.74,27.77%,40,114.35%,30.55%,,,http://www.amazon.com/gp/product/B0053YIDOS/?tag=titb-20,1,,,,"Apr 8, 2011",
Final Destination 5,2011,sequel,61,50,56,56,64,-8,60,-5,,"horror, thriller",18030000,18.03,42590000,42.59,115.3,115300000,157890000,157.89,73.03%,40,394.73%,45.08%,,,http://www.amazon.com/gp/product/B00HYM5MHI/?tag=titb-20,1,,,,"Aug 12, 2011",
Scream 4,2011,sequel,58,52,55,57,69,-12,63,-8,,"horror, mystery",18690000,18.69,38180000,38.18,58.96,58960000,97140000,97.14,60.70%,40,242.85%,46.73%,,,http://www.amazon.com/gp/product/B008W02IWS/?tag=titb-20,1,,,,"Apr 15, 2011",
The Thing,2011,adaptation,36,49,43,52,63,-11,58,-15,,"horror, mystery, sci-fi",8490000,8.49,16930000,16.93,10.5,10500000,27430000,27.43,38.28%,38,72.18%,22.34%,,,http://www.amazon.com/gp/product/B0070Z4M4I/?tag=titb-20,1,,,,"Oct 14, 2011",
Water For Elephants,2011,adaptation,60,52,56,72,70,2,71,-15,,romance,16840000,16.84,58710000,58.71,58.39,58390000,117100000,117.10,49.86%,38,308.16%,44.32%,,,http://www.amazon.com/gp/product/B006228KPW/?tag=titb-20,1,,,,"Apr 22, 2011",
Dolphin Tale,2011,adaptation,84,64,74,81,64,17,73,2,,family,19150000,19.15,72290000,72.29,23.12,23120000,95410000,95.41,24.23%,37,257.86%,51.76%,,,http://www.amazon.com/gp/product/B0064J63DY/?tag=titb-20,1,,,,"Sep 23, 2011",
The Rite,2011,adaptation,20,38,29,43,53,-10,48,-19,,"horror, thriller",14800000,14.80,33050000,33.05,63,63000000,96050000,96.05,65.59%,37,259.59%,40.00%,,,http://www.amazon.com/gp/product/B00517FG4M/?tag=titb-20,1,,,,"Jan 28, 2011",
Gnomeo and Juliet,2011,original screenplay,56,53,55,52,59,-7,56,-1,,"animation, comedy, family",25360000,25.36,99970000,99.97,94,94000000,193970000,193.97,48.46%,36,538.81%,70.44%,,,http://www.amazon.com/gp/product/B004Z2TUDW/?tag=titb-20,1,,,,"Feb 11, 2011",
Hall Pass,2011,original screenplay,35,45,40,44,55,-11,50,-10,,"comedy, romance",13540000,13.54,45060000,45.06,38.1,38100000,83160000,83.16,45.82%,36,231.00%,37.61%,,,http://www.amazon.com/gp/product/B00505WQ8E/?tag=titb-20,1,,,,"Feb 25, 2011",
Something Borrowed,2011,adaptation,15,36,26,48,50,-2,49,-24,,"comedy, romance",13950000,13.95,39050000,39.05,21.14,21140000,60190000,60.19,35.12%,35,171.97%,39.86%,,,http://www.amazon.com/gp/product/B005BGBP3Y/?tag=titb-20,1,,,,"May 6, 2011",
