Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US)
Toy Story 3,2010,sequel,99,92,96,91,91,0,91,5,,"animation, adventure, comedy",110300000,110.30,415000000,415.00,648.16,648160000,"1,063,160,000",1063.16,60.97%,200,531.58%,55.15%,Oscar Winner,Best Animated Feature,http://www.amazon.com/gp/product/B004C3DLJ8/?tag=titb-20,1,,,,"Jun 18, 2010"
The King's Speech,2010,based on a true story,95,88,92,93,83,10,88,4,,"biography, history",4400000,4.40,138790000,138.79,275.41,275410000,"414,200,000",414.20,66.49%,15,2761.33%,29.33%,Oscar Winner,"Best Picture, Best Director, Best Original Screenplay",http://www.amazon.com/gp/product/B004X4R49Y/?tag=titb-20,1,,,,"Nov 26, 2010"
Black Swan        ,2010,original screenplay,88,79,84,86,80,6,83,1,,"mystery, thriller",8380000,8.38,106950000,106.95,222.44,222440000,"329,390,000",329.39,67.53%,13,2533.77%,64.46%,,Best Actress,http://www.amazon.com/gp/product/B004U8VWLE/?tag=titb-20,1,,,,"Dec 17, 2010"
Tangled,2010,adaptation,89,71,80,88,82,6,85,-5,,"animation, comedy, family",48770000,48.77,200820000,200.82,390.97,390970000,"591,790,000",591.79,66.07%,260,227.61%,18.76%,,,http://www.amazon.com/gp/product/B005ZMUXDC/?tag=titb-20,1,,,,"Nov 24, 2010"
Alice in Wonderland,2010,adaptation,52,53,53,72,55,17,64,-11,,"adventure, family, fantasy",116100000,116.10,334190000,334.19,691.28,691280000,"1,025,470,000",1025.47,67.41%,200,512.74%,58.05%,,,http://www.amazon.com/gp/product/B003QTUQGU/?tag=titb-20,1,,,,"Mar 5, 2010"
Prince of Persia: The Sands of Time,2010,adaptation,36,50,43,71,74,-3,73,-30,,"action, adventure, fantasy",30000000,30.00,90760000,90.76,245.61,245610000,"336,370,000",336.37,73.02%,200,168.19%,15.00%,,,http://www.amazon.com/gp/product/B0060D0OWA/?tag=titb-20,1,,,,"May 28, 2010"
Robin Hood,2010,adaptation,42,53,48,59,62,-3,61,-13,,"action, adventure",36000000,36.00,105270000,105.27,216.4,216400000,"321,670,000",321.67,67.27%,200,160.84%,18.00%,,,http://www.amazon.com/gp/product/B003XQM2YU/?tag=titb-20,1,,,,"May 14, 2010"
Iron Man 2,2010,sequel,74,57,66,80,66,14,73,-8,,"action, adventure, sci-fi",128100000,128.10,312430000,312.43,311.5,311500000,"623,930,000",623.93,49.93%,200,311.97%,64.05%,,,http://www.amazon.com/gp/product/B0040Z9H5K/?tag=titb-20,1,,,,"May 7, 2010"
Tron: Legacy,2010,sequel,50,49,50,67,71,-4,69,-20,,"action, adventure, sci-fi",44030000,44.03,172060000,172.06,228,228000000,"400,060,000",400.06,56.99%,170,235.33%,25.90%,,,http://www.amazon.com/gp/product/B0094KT8W8/?tag=titb-20,1,,,,"December 17, 2010"
How to Train Your Dragon,2010,adaptation,98,74,86,90,88,2,89,-3,,"animation, adventure, comedy",43700000,43.70,217580000,217.58,277.3,277300000,"494,880,000",494.88,56.03%,165,299.93%,26.48%,,,http://www.amazon.com/gp/product/B0047C4KBW/?tag=titb-20,1,,,,"March 26, 2010"
